Designator,Mid X,Mid Y,Rotation,Layer
D1,80.75018,-53.692451,90.0,top
D2,99.65,-53.68,90.0,top
D3,118.69,-53.69,90.0,top
D4,80.61,-72.74,90.0,top
D5,99.65,-72.74,90.0,top
D6,118.76,-72.74,90.0,top
D7,80.53,-91.78,90.0,top
D8,99.79,-91.78,90.0,top
D9,118.69,-91.78,90.0,top
S1,71.12,-57.15,0.0,top
S2,90.17,-57.15,0.0,top
S3,109.22,-57.15,0.0,top
S4,71.12,-76.2,0.0,top
S5,90.17,-76.2,0.0,top
S6,109.22,-76.2,0.0,top
S7,71.12,-95.25,0.0,top
S8,90.17,-95.25,0.0,top
S9,109.22,-95.25,0.0,top
U1,135.06,-72.875,0.0,top
